;Bezeichnung;Standort;Land;Architekt*in 1 Vorname;Architekt*in 1 Nachname;Künstler*innenname 1;Architekt*in 2 Vorname;Architekt*in 2 Nachname;Künstler*innenname 2;Architekt*in 3 Vorname;Architekt*in 3 Nachname;Künstler*innenname 3;Jahr Entwurf;Jahr Fertigstellung;Tags;Erläuterungstext;Ansicht;Grundriss;Schnitt;Lageplan;Detail
56;UNESCO-Gebäude;Paris;Frankreich;Marcel;Breuer;;Pier Luigi;Nervi;;Bernard;Zehrfuß;;1952;1957;;;harvard x;marbre-une-gru;;marbre-une-lag;harvard
57;Bahnhof Roma Termini;Rom;Italien;Eugenio;Montuori;;Leo;Calini;;;;;1950;;;;;;;;
58;Pirelli-Hochhaus;Mailand;Italien;Gio;Ponti;;;;;;;;1958;;;;giopon-pir-abb;;;;
59;Fallingwater;Mill Run;Vereinigte Staaten;Frank Lloyd;Wright;;;;;;;;1936;1937;Organische Architektur+Wohnungsbau+Beton+Mauerwerk+Glas+Stahl+Natur;frawri-fal-txt;frawri-fal-abb;frawri-fal-gru;frawri-fal-sch;frawri-fal-lag;frawri-fal-det
60;Crown Hall;Chicago;Vereinigte Staaten;Ludwig;Mies van der Rohe;;;;;;;;1942;1943;;;ludmie-cro-abb;ludmie-cro-gru;ludmie-cro-sch;ludmie-cro-lag;ludmie-cro-det
61;Harvard Graduate Center;Cambridge;Vereinigte Staaten;Walter;Gropius;;Marcel;Breuer;;;;;1949;1950;;;walgro-har-abb;;;;
62;Maimonides Hospital;San Francisco;Vereinigte Staaten;Erich;Mendelsohn;;;;;;;;1946;;;;erimen-mai-abb;;;;erimen-mai-det
63;Panthéon;Paris;Frankreich;Jacques-Germain;Soufflot;;;;;;;;1757;;;;jacsou-pan-abb;;;;jacsou-pan-det
64;Denkmal Friedrichs des Großen;Berlin;Deutschland;Friedrich;Gilly;;;;;;;;1796;;;;frigil-den-abb;;;;
65;Landhaus Thornton;Thornton;Vereinigtes Königreich;Christian Frederik;Hansen;;;;;;;;1797;;;;;;;;
66;Rue de Rivoli;Paris;Frankreich;Charles;Percier;;Pierre;Fontaine;;;;;1802;;;;chaper-rue-abb;;;;
67;Monument für die Dritte Internationale (Tatlin-Turm);Moskau;Sowjetunion;Vladimir Evgrafovič ;Tatlin;;;;;;;;1920;;;;vlatat-mon-abb;;;;
68;Royal Pavilion;Brighton;Vereinigtes Königreich;John;Nash;;;;;;;;1823;;;;johnas-roy-abb;;;;johnas-roy-det
69;Münze;Karlsruhe;Deutschland;Friedrich;Weinbrenner;;;;;;;;1827;;;;friwei-mue-abb;friwei-mue-gru;;;
70;Glyptothek;München;Deutschland;Leo;von Klenze;;;;;;;;1830;;;;leovon-gly-abb;;;;
71;Thorvaldsens Museum;Kopenhagen;Dänemark;Gottlieb;Bindesbøll;;;;;;;;1839;;;;gotbin-tho-abb;;;;
72;Königliches Hoftheater Dresden;Dresden;Deutschland;Gottfried;Semper;;;;;;;;1842;;;;gotsem-koe-abb;gotsem-koe-gru;gotsem-koe-sch;gotsem-koe-lag;gotsem-koe-det
73;Königliches Schloss;Athen;Griechenland;Friedrich;von Gärtner;;;;;;;;1843;;;;;frivon-koe-gru;;;
74;Ju’er Hutong (Neue Hofhäuser);Bejing;Volksrepublik China;Liangyong;Wu;;;;;;;;1989;1992;;;;;;;
75;Feldherrenhalle;München;Deutschland;Friedrich;von Gärtner;;;;;;;;1844;;;;;;;;
76;Propyläen;München;Deutschland;Leo;von Klenze;;;;;;;;1848;;;;leovon-pro-abb;;;;
77;Harper Brothers Building;New York;Vereinigte Staaten;James;Bogardus;;;;;;;;1857;;;;jambog-har-abb;;;;
78;Heinrichshof;Wien;Österreich;Theophil;von Hansen;;;;;;;;1863;;;;thevon-hei-abb;;;;
79;Christuskirche;Hannover;Deutschland;Conrad Wilhelm;Hase;;;;;;;;1864;;;;;;;;
80;Galleria Vittorio Emanuele;Mailand;Italien;Guiseppe;Mengoni;;;;;;;;1867;;;;guimen-gal-abb;;;;guimen-gal-det
81;Wiener Staatsoper;Wien;Österreich;August;Sicard von Sicardsburg;;Eduard;van der Nüll;;;;;1869;;;;augsic-wie-abb;;;;augsic-wie-det
82;Schloss Neuschwanstein;Schwangau;Deutschland;Eduard;Riedel;;;;;;;;1874;;;;edurie-sch-abb;;;;
